bioproject_id	phs_accession	organism	name	protocols_inferred	disease_categories	sra_run_count	description
726829		Homo sapiens	Characterization of CNS Metastases	scRNA	cancer|neurological	39438	Metastatic disease to the central nervous system (CNS) is devastating, with a poor prognosis. There are limited treatment options for patients with CNS metastases, and in particular with leptomeningea
755316			Single-cell and single-nucleus RNA-seq uncovers shared and distinct axes of variation in dorsal LGN neurons in mice, non-human primates, and humans	snRNA|scRNA	neurological	4343	Abundant evidence supports the presence of at least three distinct types of thalamocortical (TC) neurons in the primate dorsal lateral geniculate nucleus (dLGN) of the thalamus, the brain region that 
289244		Homo sapiens	Homo sapiens	smart-seq|scRNA	cancer	3352	To understand the diversity of expression states within oligodendroglioma tumors, we obtained six freshly resected samples, profiled ~1000 cells from each tumor and examined their diversity. Overall d
267619		Homo sapiens	Homo sapiens		cardiovascular	1069	The goal of this study is to characterize and understand the variability in the expressed transcriptome of human excitable cells. There are two predominant types of excitable cell in the human body, n
1151742		Homo sapiens	Programs, Origins, and Immunomodulatory Functions of Myeloid Cells in Gliomas	scRNA	cancer|neurological|autoimmune	847	Gliomas are challenging malignancies characterized by an immunosuppressive microenvironment filled with myeloid cells, whose roles in immune modulation are not fully understood. In this study, we util
1000652		Homo sapiens	Patient-derived models of prostate cancer	scRNA	cancer	511	1. Low-Dose Carboplatin Modifies the Tumor Microenvironment to Augment CAR T Cell Efficacy in Human Prostate Cancer Models.Single-cell RNA sequencing (scRNA-seq) was performed to analyze the transcrip
671342		Homo sapiens	HubMAP: KULMAP - Human Kidney, Urinary Tract, and Lung Mapping Center	spatial	pulmonary|kidney	456	The major goal of the Human Kidney, Urinary Tract, and Lung Mapping Centers at the Washington University School of Medicine in St. Louis and University of Rochester Medical College is to generate mult
671343		Homo sapiens	HubMAP: KULMAP - Human Kidney, Urinary Tract, and Lung Mapping Center	spatial	pulmonary|kidney	456	The major goal of the Human Kidney, Urinary Tract, and Lung Mapping Centers at the Washington University School of Medicine in St. Louis and University of Rochester Medical College is to generate mult
1263046		Homo sapiens	Uncovering gene regulatory differences between human and chimpanzee neural cells	atac|scRNA	neurological	359	A major challenge in human evolutionary biology is to pinpoint the genetic differences that underlie phenotypic changes in the human lineage, such as increased neuron number and a prolonged period of 
1182290	phs003848	Homo sapiens	Single-cell RNA-seq of peripheral blood links cell-type-specific regulation of splicing to autoimmune and inflammatory diseases [scRNAseq_KR_SGI]	scRNA	autoimmune|normal	352	Alternative splicing is pivotal in the genetics of complex traits, but a detailed understanding requires relevant cell types from diverse genetic ancestries. Here, we described cell-type-specific, sex
736761		Homo sapiens	Circulating tumor cell heterogeneity in neuroendocrine prostate cancer by single cell copy number analysis		cancer|neurological	215	Neuroendocrine prostate cancer (NEPC) is an aggressive variant of prostate cancer that may arise de novo or develop from pre-existing prostate adenocarcinoma as a mechanism of treatment resistance. Co
951465		Homo sapiens	Deterministic evolution and stringent selection during pre-neoplasia		cancer	193	The earliest events during human tumor initiation are poorly characterized but may hold clues as to how to detect and prevent malignancy. Here we model this occult process by engineering TP53 deficien
1373321		Homo sapiens	Parkinson Cell Atlas in 5D (PD5D)	spatial|snRNA	neurological|normal	185	Genome-wide association studies (GWAS) have unequivocally linked thousands of noncoding variants to Parkinson's disease (PD). Why have these breakthroughs not uncovered the mechanism(s) of common, gen
768498		Homo sapiens	The Spatio-Temporal Evolution of Multiple Myeloma from Baseline to Relapse-Refractory States	spatial	cancer	179	In multiple myeloma, the spatio-temporal evolution patterns of cancer cells in the bone marrow remain largely unknown. Here, we applied spatial-longitudinal sequencing, including a total of 179 sample
1226668		Homo sapiens	Studying Glioblastoma in a Human Organoid Tumor Transplantation Model	snRNA|scRNA	cancer|developmental	170	This study comprises two complementary investigations that leverage innovative human model systems and cutting-edge molecular profiling to dissect glioblastoma (GBM) heterogeneity and tumor-microenvir
923100		Homo sapiens	Combined PD-1, BRAF and MEK inhibition in BRAFV600E colorectal cancer: a phase 2 trial	scRNA	cancer	159	In this study, we evaluated the clinical efficacy of combined PDCD1, BRAF, and MAP2K7 inhibition in metastatic BRAFV600E Colorectal Cancer (CRC) patients (NCT03668431). We performed bulk whole exome s
640200		Homo sapiens	Genomic Profiling of Hematologic Disorders		cancer	148	Myeloid malignancies have previously been characterized by large scale bulk molecular profiling studies on patient samples. These studies, while clinically informative, are unable to delineate mutatio
993796		Homo sapiens	Targeted linked-read DNA-seq analysis of castration-resistant prostate cancers	10x_chromium	cancer	140	Androgen receptor (AR) inhibition is standard of care for advanced prostate cancer (PC). However, its efficacy is limited by progression to castration-resistant PC (CRPC), usually due to AR re-activat
772349		Homo sapiens	Identification of somatic changes in tumors from Fanconi anemia patients	10x_chromium|spatial	cancer|normal	131	This study focused on the identification of genomic signatures present in tumors from Fanconi anemia patients. Fanconi anemia is a rare hereditary disease caused by defects in DNA interstrand crosslin
