gse_id,species,catalog_species,protocol,nrows,ncols,n_genes,nnz,density,is_usa,pz_bytes,raw_int32_bytes,ratio,bits_per_nz,codec,has_transpose,has_obs_var,num_chunks
GSE100274,Mus musculus,Mus musculus,dropseq,171540,17926,57180,13530556,0.0044,True,13994989,108316156,7.74,8.275,vocsc+zstd,False,True,18
GSE100725,Homo sapiens,Homo sapiens,10x_suspect,115818,2795,38606,20050914,0.061941,True,15034300,160418496,10.67,5.998,vocsc+zstd,False,True,3
GSE100861,Mus musculus,,,171540,26976,57180,20663807,0.004465,True,19610107,165418364,8.435,7.592,vocsc+zstd,False,True,27
GSE103224,Homo sapiens,,,115818,3276,38606,4266121,0.011244,True,4564048,34142076,7.481,8.559,vocsc+zstd,False,True,4
GSE103544,Homo sapiens,Homo sapiens,10xv2,115818,60316,38606,1910331,0.000273,True,2872712,15523916,5.404,12.03,vocsc+zstd,False,True,59
GSE103574,Mus musculus,Mus musculus,10xv3,171540,5022,57180,26837275,0.031153,True,20533818,214718292,10.457,6.121,vocsc+zstd,False,True,5
GSE103976,Mus musculus,,,171540,183350,57180,32044162,0.001019,True,39221098,257086700,6.555,9.792,vocsc+zstd,False,True,180
GSE103983,Mus musculus,,,171540,7870,57180,4355879,0.003227,True,5815823,34878516,5.997,10.681,vocsc+zstd,False,True,8
GSE104898,Mus musculus,,,171540,115313,57180,8209974,0.000415,True,14187474,66141048,4.662,13.825,vocsc+zstd,False,True,113
GSE106121,Danio rerio,Danio rerio,10x_suspect,97560,1201642,32520,192189538,0.001639,True,210621690,1542322876,7.323,8.767,vocsc+zstd,False,True,1174
GSE106202,Homo sapiens,,,115818,28448,38606,7964835,0.002417,True,9212397,63832476,6.929,9.253,vocsc+zstd,False,True,28
GSE106264,Mus musculus,Mus musculus,10xv2,171540,790552,57180,25541701,0.000188,True,37499572,207495820,5.533,11.745,vocsc+zstd,False,True,773
GSE106543,Homo sapiens,Homo sapiens,10xv2,115818,6963,38606,9937852,0.012323,True,8975903,79530672,8.86,7.226,vocsc+zstd,False,True,7
GSE106678,Mus musculus,Mus musculus,dropseq,171540,449309,57180,94143803,0.001221,True,107200718,754947664,7.042,9.11,vocsc+zstd,False,True,439
GSE107122,Mus musculus,Mus musculus,dropseq,171540,13764,57180,17784493,0.007532,True,15945115,142331004,8.926,7.173,vocsc+zstd,False,True,14
GSE107185,Homo sapiens,Homo sapiens; unidentified plasmid,10x_suspect,115818,40626,38606,192643822,0.040943,True,135343783,1541313084,11.388,5.62,vocsc+zstd,False,True,40
GSE107220,Mus musculus,,,171540,62233,57180,12427379,0.001164,True,15333295,99667968,6.5,9.871,vocsc+zstd,False,True,61
GSE107585,Mus musculus,Mus musculus,10x_suspect,171540,521682,57180,84925160,0.000949,True,84653838,681488012,8.05,7.974,vocsc+zstd,False,True,510
GSE107910,Mus musculus,Mus musculus,dropseq,171540,49598,57180,79217113,0.009311,True,64725603,633935300,9.794,6.537,vocsc+zstd,False,True,49
GSE108313,Homo sapiens,Homo sapiens,10xv2,115818,252882,38606,38914062,0.001329,True,36803406,312324028,8.486,7.566,vocsc+zstd,False,True,247
GSE109247,Mus musculus,,,171540,66737,57180,58943273,0.005149,True,51408682,471813136,9.178,6.977,vocsc+zstd,False,True,66
GSE109447,Mus musculus,,,171540,13264,57180,5113510,0.002247,True,6769849,40961140,6.051,10.591,vocsc+zstd,False,True,13
GSE110623,Mus musculus,,,171540,56756,57180,16859934,0.001732,True,19286644,135106500,7.005,9.151,vocsc+zstd,False,True,56
GSE110894,Mus musculus,,,171540,1650,57180,584615,0.002065,True,1576085,4683524,2.972,21.567,vocsc+zstd,False,True,2
GSE110949,Homo sapiens,,,115818,2155,38606,4409941,0.017669,True,4363949,35288152,8.086,7.917,vocsc+zstd,False,True,3
GSE111107,Mus musculus,Mus musculus,dropseq,171540,99019,57180,15984077,0.000941,True,20264282,128268696,6.33,10.142,vocsc+zstd,False,True,97
GSE111108,Homo sapiens,Homo sapiens,10x_suspect,115818,1030,38606,9389808,0.078712,True,7659249,75122588,9.808,6.526,vocsc+zstd,False,True,2
GSE111113,Mus musculus,Mus musculus,10xv2,171540,49403,57180,12016414,0.001418,True,11287049,96328928,8.534,7.514,vocsc+zstd,False,True,49
GSE111527,Mus musculus,Mus musculus,dropseq,171540,23254,57180,21592693,0.005413,True,21437810,172834564,8.062,7.943,vocsc+zstd,False,True,23
GSE111664,Mus musculus,Mus musculus,dropseq,171540,314905,57180,42980254,0.000796,True,56865987,345101656,6.069,10.585,vocsc+zstd,False,True,308
GSE111672,Homo sapiens,Homo sapiens,indrop,115818,820,38606,93436,0.000984,True,1097256,750772,0.684,93.947,vocsc+zstd,False,True,1
GSE111704,Mus musculus,Mus musculus,10xv2,171540,979705,57180,91481948,0.000544,True,89820252,735774408,8.192,7.855,vocsc+zstd,False,True,957
GSE111764,Homo sapiens,,,115818,3523,38606,957147,0.002346,True,1956480,7671272,3.921,16.353,vocsc+zstd,False,True,4
GSE111896,Homo sapiens,,,115818,12729,38606,12095143,0.008204,True,11295843,96812064,8.571,7.471,vocsc+zstd,False,True,13
GSE111898,Homo sapiens,Homo sapiens,10xv2,115818,204160,38606,14246262,0.000602,True,16976533,114786740,6.761,9.533,vocsc+zstd,False,True,200
GSE113293,Mus musculus,Mus musculus,dropseq,171540,821703,57180,85159623,0.000604,True,109160031,684563800,6.271,10.255,vocsc+zstd,False,True,803
GSE114156,Homo sapiens,Homo sapiens,indrop,115818,381,38606,312169,0.007074,True,1275331,2498880,1.959,32.683,vocsc+zstd,False,True,1
GSE114454,Homo sapiens,,,115818,236676,38606,25446849,0.000928,True,34405942,204521500,5.944,10.817,vocsc+zstd,False,True,232
GSE114459,Homo sapiens,,,115818,13646,38606,39748417,0.02515,True,29963686,318041924,10.614,6.031,vocsc+zstd,False,True,14
GSE114460,Homo sapiens,,,115818,13517,38606,40210288,0.025685,True,30184953,321736376,10.659,6.005,vocsc+zstd,False,True,14
GSE114461,Homo sapiens,,,115818,7753,38606,48250593,0.053735,True,34684705,386035760,11.13,5.751,vocsc+zstd,False,True,8
GSE114462,Homo sapiens,Homo sapiens,10x_suspect,115818,724772,38606,115179021,0.001372,True,104744600,924331260,8.825,7.275,vocsc+zstd,False,True,708
GSE114530,Homo sapiens,Homo sapiens,10x_suspect,115818,20163,38606,25763927,0.011033,True,22202973,206192072,9.287,6.894,vocsc+zstd,False,True,20
GSE114615,Unknown,,,98499,1403,98499,5105513,0.036945,True,4435245,40849720,9.21,6.95,vocsc+zstd,False,True,2
GSE114724,Homo sapiens,Homo sapiens,10x_suspect,115818,24112,38606,5420524,0.001941,True,6547847,43460644,6.637,9.664,vocsc+zstd,False,True,24
GSE114725,Homo sapiens,Homo sapiens,indrop,115818,16406,38606,7268080,0.003825,True,8209607,58210268,7.091,9.036,vocsc+zstd,False,True,17
GSE115243,Mus musculus,,,171540,539347,57180,76086192,0.000822,True,93509431,610846928,6.532,9.832,vocsc+zstd,False,True,527
GSE115476,Drosophila melanogaster,,,72834,54960,24278,16549803,0.004134,True,15054219,132618268,8.809,7.277,vocsc+zstd,False,True,54
GSE115869,Homo sapiens,,,115818,33361,38606,23473121,0.006075,True,21452831,187918416,8.76,7.311,vocsc+zstd,False,True,33
GSE116001,Mus musculus,,,171540,1599,57180,6356713,0.023175,True,6415016,50860104,7.928,8.073,vocsc+zstd,False,True,2
GSE116011,Homo sapiens,,,115818,2484,38606,2400458,0.008344,True,2980532,19213604,6.446,9.933,vocsc+zstd,False,True,3
GSE116256,Homo sapiens,,,115818,26470,38606,7241954,0.002362,True,7914247,58041516,7.334,8.743,vocsc+zstd,False,True,26
GSE116390,Mus musculus,Mus musculus,10x_suspect,171540,13961,57180,3320897,0.001387,True,4926548,26623024,5.404,11.868,vocsc+zstd,False,True,14
GSE117295,Mus musculus,Mus musculus,dropseq,171540,162242,57180,41310124,0.001484,True,43779438,331129964,7.564,8.478,vocsc+zstd,False,True,159
GSE117382,Homo sapiens,Homo sapiens,dropseq,115818,231402,38606,145390462,0.005425,True,125768623,1164049308,9.255,6.92,vocsc+zstd,False,True,226
GSE117707,Mus musculus,Mus musculus,10x_suspect,171540,84201,57180,33821481,0.002342,True,28901852,270908656,9.373,6.836,vocsc+zstd,False,True,83
GSE117784,Mus musculus,,,171540,31142,57180,25581501,0.004789,True,24256170,204776580,8.442,7.586,vocsc+zstd,False,True,31
GSE117785,Mus musculus,,,171540,96664,57180,90395060,0.005451,True,74929017,723547140,9.656,6.631,vocsc+zstd,False,True,95
GSE117786,Mus musculus,,,171540,51600,57180,33996353,0.003841,True,30444277,272177228,8.94,7.164,vocsc+zstd,False,True,51
GSE117788,Mus musculus,,,171540,22304,57180,39504347,0.010325,True,32547432,316123996,9.713,6.591,vocsc+zstd,False,True,22
GSE117790,Mus musculus,,,171540,5356,57180,22607469,0.024606,True,17674769,180881180,10.234,6.254,vocsc+zstd,False,True,6
GSE117792,Mus musculus,,,171540,67166,57180,54558075,0.004735,True,44364864,436733268,9.844,6.505,vocsc+zstd,False,True,66
GSE117793,Mus musculus,,,171540,7121,57180,26414375,0.021624,True,20223008,211343488,10.451,6.125,vocsc+zstd,False,True,7
GSE117794,Mus musculus,,,171540,4983,57180,25427191,0.029747,True,19303140,203437464,10.539,6.073,vocsc+zstd,False,True,5
GSE117795,Mus musculus,Mus musculus,10xv2,171540,571129,57180,205283211,0.002095,True,177679785,1644550208,9.256,6.924,vocsc+zstd,False,True,558
GSE117893,Mus musculus,Mus musculus,10x_suspect,171540,161491,57180,34871716,0.001259,True,38854858,279619696,7.197,8.914,vocsc+zstd,False,True,158
GSE117963,Mus musculus,Mus musculus,10xv2,171540,23823,57180,2663580,0.000652,True,5157077,21403936,4.15,15.489,vocsc+zstd,False,True,24
GSE118120,Mus musculus,,,171540,326,57180,18669,0.000334,True,1048880,150660,0.144,449.464,vocsc+zstd,False,True,1
GSE118184,Homo sapiens,Homo sapiens,10x_suspect,115818,320911,38606,138660145,0.003731,True,136445102,1110564808,8.139,7.872,vocsc+zstd,False,True,314
GSE118312,Homo sapiens,Mus musculus; Homo sapiens,10xv3,115818,13099,38606,29226570,0.019265,True,22756616,233864960,10.277,6.229,vocsc+zstd,False,True,13
GSE118368,Mus musculus,Mus musculus,10xv2,171540,6577,57180,21209859,0.018799,True,16468244,169705184,10.305,6.212,vocsc+zstd,False,True,7
GSE118486,Mus musculus,Mus musculus,10xv2,171540,4789,57180,16889974,0.02056,True,14084744,135138952,9.595,6.671,vocsc+zstd,False,True,5
GSE118545,Mus musculus,Mus musculus,dropseq,171540,1109861,57180,152702388,0.000802,True,188898224,1226058552,6.491,9.896,vocsc+zstd,False,True,1084
GSE118555,Mus musculus,Mus musculus,10x_suspect,171540,4543,57180,7244243,0.009296,True,7498071,57972120,7.732,8.28,vocsc+zstd,False,True,5
GSE118932,Mus musculus,Mus musculus,10xv2,171540,9615,57180,22128346,0.013416,True,18588620,177065232,9.525,6.72,vocsc+zstd,False,True,10
GSE119531,Mus musculus,Mus musculus,10x_suspect,171540,233996,57180,18807031,0.000469,True,27263549,151392236,5.553,11.597,vocsc+zstd,False,True,229
GSE119561,Homo sapiens,Homo sapiens,10xv2,115818,7225,38606,29977963,0.035825,True,22621694,239852608,10.603,6.037,vocsc+zstd,False,True,8
GSE119682,Homo sapiens,,,115818,9005,38606,6422639,0.006158,True,7200971,51417136,7.14,8.969,vocsc+zstd,False,True,9
GSE119750,Homo sapiens,,,115818,256174,38606,84232576,0.002839,True,95148489,674885308,7.093,9.037,vocsc+zstd,False,True,251
GSE120537,Drosophila melanogaster,Drosophila melanogaster,10xv3,72834,1035,24278,1574346,0.020885,True,1651922,12598912,7.627,8.394,vocsc+zstd,False,True,2
GSE120678,Mus musculus,Mus musculus,dropseq,171540,6245,57180,11791299,0.011007,True,11831363,94355376,7.975,8.027,vocsc+zstd,False,True,7
GSE120960,Mus musculus,,,171540,14053,57180,9455519,0.003922,True,9771299,75700368,7.747,8.267,vocsc+zstd,False,True,14
GSE121034,Mus musculus,Mus musculus,10xv2,171540,10452,57180,18699774,0.01043,True,15763913,149640004,9.493,6.744,vocsc+zstd,False,True,11
GSE121080,Homo sapiens,Homo sapiens,10xv2,115818,65850,38606,125902252,0.016508,True,102153118,1007481420,9.862,6.491,vocsc+zstd,False,True,65
GSE121107,Homo sapiens,Homo sapiens,dropseq,115818,185945,38606,59099987,0.002744,True,58226580,473543680,8.133,7.882,vocsc+zstd,False,True,182
GSE121267,Homo sapiens,Homo sapiens,10x_suspect,115818,3273,38606,8130721,0.021449,True,7160255,65058864,9.086,7.045,vocsc+zstd,False,True,4
GSE121287,Mus musculus,Mus musculus,10x_suspect,171540,3315,57180,8198044,0.014417,True,7713031,65597616,8.505,7.527,vocsc+zstd,False,True,4
