"gse_id","nrows","ncols","nnz","raw_int32_bytes","pz_bytes","pz_ratio","bp_unc_bytes","bp_unc_ratio","bp_comp_bytes","bp_comp_ratio","bp_comp_read_s","bp_comp_read_mbps","bp_h5_bytes","bp_h5_ratio"
"GSE135310",171540,81855,1008035,8391704,3548775,2.365,8719196,0.962,3447250,2.434,0.101,83.1,NA,NA
"GSE142243",171540,3538,3941509,31546228,5092190,6.195,31560452,1,8494802,3.714,0.253,124.7,NA,NA
"GSE191285",115818,703,6961009,55690888,5870023,9.487,55693772,1,13348870,4.172,0.465,119.8,NA,NA
"GSE132067",171540,4783,10119726,80976944,9527929,8.499,80996148,1,21031742,3.85,0.802,101,NA,NA
"GSE213462",115818,42824,13537341,108470028,14484907,7.488,108641396,0.998,29041750,3.735,0.968,112.1,NA,NA
"GSE143916",171540,6174,17025507,136228756,13836798,9.845,136253524,1,36449050,3.738,1.147,118.8,NA,NA
"GSE209947",115818,18654,21666880,173409660,19680758,8.811,173484348,1,43803878,3.959,1.73,100.2,NA,NA
"GSE244946",115818,17791,25678307,205497624,21409577,9.598,205568860,1,51882578,3.961,1.951,105.3,NA,NA
"GSE284205",115818,9084,30999615,248033260,25586453,9.694,248069668,1,62294198,3.982,2.618,94.7,NA,NA
"GSE210594",171540,211989,36814186,295361448,42219590,6.996,296209476,0.997,101245558,2.917,3.383,87.3,NA,NA
"GSE150724",115818,8338,42931443,343484900,31800537,10.801,343518324,1,84865010,4.047,3.1,110.8,NA,NA
"GSE152928",171540,34664,50597714,404920372,41713020,9.707,405059100,1,109998830,3.681,4.015,100.9,NA,NA
"GSE133080",171540,833704,58159133,468607884,63619338,7.366,471942772,0.993,138211366,3.391,4.693,99.9,NA,NA
"GSE274661",21381,66807,66635956,533354880,47264949,11.284,533622180,0.999,118024842,4.519,4.906,108.7,NA,NA
"GSE274925",171540,48690,77391617,619327700,60718181,10.2,619522532,1,164086286,3.774,5.543,111.7,NA,NA
"GSE273607",171540,13001,89442477,715591824,66184757,10.812,715643900,1,184228618,3.884,6.463,110.7,NA,NA
"GSE279404",115818,190680,106015566,848887252,118563670,7.16,849650044,0.999,232652622,3.649,12.214,69.5,NA,NA
"GSE273343",171540,33716,128539489,1028450780,100804757,10.202,1028585716,1,275407790,3.734,10.039,102.4,NA,NA
"GSE266233",171540,42093,155368862,1243119272,123712151,10.048,1243287716,1,329041666,3.778,11.937,104.1,NA,NA
"GSE290975",171540,344703,199833521,1600046984,170163021,9.403,1601425868,0.999,448651106,3.566,16.712,95.7,NA,NA
