format,gse_id,n_genes,n_epochs,n_batches,total_cells,total_s,load_s,compute_s,load_pct,compute_pct,cells_per_sec,device
1pz,GSE269300,171540,3,84,84762,30.752,2.387,28.365,7.8,92.2,2756.0,Tesla V100S-PCIE-32GB
h5ad,GSE269300,171540,3,84,84762,58.955,43.398,15.557,73.6,26.4,1438.0,Tesla V100S-PCIE-32GB
1pz,GSE285072,171540,3,12,10386,7.522,3.086,4.436,41.0,59.0,1381.0,Tesla V100S-PCIE-32GB
h5ad,GSE285072,171540,3,12,10386,12.099,10.183,1.917,84.2,15.8,858.0,Tesla V100S-PCIE-32GB
1pz,GSE148360,171540,3,111,111036,45.697,7.429,38.268,16.3,83.7,2430.0,Tesla V100S-PCIE-32GB
h5ad,GSE148360,171540,3,111,111036,93.267,73.001,20.266,78.3,21.7,1191.0,Tesla V100S-PCIE-32GB
1pz,GSE246280,171540,3,36,33852,22.201,8.439,13.762,38.0,62.0,1525.0,Tesla V100S-PCIE-32GB
h5ad,GSE246280,171540,3,36,33852,37.207,30.966,6.241,83.2,16.8,910.0,Tesla V100S-PCIE-32GB
1pz,GSE266033,171540,3,279,283932,126.139,28.398,97.74,22.5,77.5,2251.0,Tesla V100S-PCIE-32GB
h5ad,GSE266033,171540,3,279,283932,178.364,126.592,51.773,71.0,29.0,1592.0,Tesla V100S-PCIE-32GB
