gse_id,label,n_features,n_cells,nnz,format,hidden_dim,flops_per_step,n_steps,total_cells,prep_s,compute_s,total_s,gpu_util_pct,cells_per_sec,device
GSE140968,small,20000,9984,32564416,1pz,32,7864320000,100,102400,8.5339,0.152,8.6859,1.8,11789,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,h5ad,32,7864320000,100,102400,20.3677,0.1833,20.551,0.9,4983,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,1pz,64,15728640000,100,102400,8.4663,0.1743,8.6406,2.0,11851,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,h5ad,64,15728640000,100,102400,20.8205,0.1785,20.999,0.9,4876,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,1pz,128,31457280000,100,102400,8.0112,0.1679,8.1791,2.1,12520,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,h5ad,128,31457280000,100,102400,20.4806,0.1871,20.6676,0.9,4955,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,1pz,256,62914560000,100,102400,8.2137,0.243,8.4567,2.9,12109,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,h5ad,256,62914560000,100,102400,20.2179,0.2366,20.4545,1.2,5006,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,1pz,512,125829120000,100,102400,8.3248,0.3666,8.6914,4.2,11782,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,h5ad,512,125829120000,100,102400,19.9297,0.3738,20.3035,1.8,5043,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,1pz,1024,251658240000,100,102400,7.996,0.6358,8.6318,7.4,11863,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,h5ad,1024,251658240000,100,102400,20.0321,0.6454,20.6775,3.1,4952,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,1pz,2048,503316480000,100,102400,7.7544,1.1813,8.9357,13.2,11460,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,h5ad,2048,503316480000,100,102400,19.5661,1.189,20.7551,5.7,4934,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,1pz,4096,1006632960000,100,102400,6.2447,2.2728,8.5175,26.7,12022,NVIDIA H100 NVL
GSE140968,small,20000,9984,32564416,h5ad,4096,1006632960000,100,102400,19.7198,2.2737,21.9935,10.3,4656,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,1pz,32,7864320000,100,102400,6.9598,0.1696,7.1294,2.4,14363,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,h5ad,32,7864320000,100,102400,18.663,0.2016,18.8647,1.1,5428,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,1pz,64,15728640000,100,102400,6.7203,0.174,6.8943,2.5,14853,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,h5ad,64,15728640000,100,102400,19.0849,0.1944,19.2793,1.0,5311,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,1pz,128,31457280000,100,102400,6.8592,0.1798,7.039,2.6,14548,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,h5ad,128,31457280000,100,102400,18.8276,0.1956,19.0232,1.0,5383,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,1pz,256,62914560000,100,102400,6.8559,0.2667,7.1226,3.7,14377,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,h5ad,256,62914560000,100,102400,18.8989,0.2376,19.1366,1.2,5351,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,1pz,512,125829120000,100,102400,6.822,0.3717,7.1937,5.2,14235,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,h5ad,512,125829120000,100,102400,18.8717,0.373,19.2447,1.9,5321,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,1pz,1024,251658240000,100,102400,7.4678,0.6726,8.1404,8.3,12579,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,h5ad,1024,251658240000,100,102400,19.1942,0.6467,19.841,3.3,5161,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,1pz,2048,503316480000,100,102400,7.4072,1.1826,8.5898,13.8,11921,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,h5ad,2048,503316480000,100,102400,19.0106,1.1903,20.2009,5.9,5069,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,1pz,4096,1006632960000,100,102400,6.1468,2.2714,8.4182,27.0,12164,NVIDIA H100 NVL
GSE212078,medium,20000,49980,151259427,h5ad,4096,1006632960000,100,102400,18.8926,2.2735,21.1661,10.7,4838,NVIDIA H100 NVL
GSE214983,large,20000,149608,49068686,1pz,32,7864320000,100,102400,4.645,0.2522,4.8972,5.1,20910,NVIDIA H100 NVL
GSE214983,large,20000,149608,49068686,h5ad,32,7864320000,100,102400,13.108,0.19,13.298,1.4,7700,NVIDIA H100 NVL
GSE214983,large,20000,149608,49068686,1pz,64,15728640000,100,102400,4.5389,0.2021,4.7409,4.3,21599,NVIDIA H100 NVL
GSE214983,large,20000,149608,49068686,h5ad,64,15728640000,100,102400,12.8787,0.186,13.0647,1.4,7838,NVIDIA H100 NVL
GSE214983,large,20000,149608,49068686,1pz,128,31457280000,100,102400,5.4066,0.1686,5.5752,3.0,18367,NVIDIA H100 NVL
