gse_id,species,protocol,nrows,ncols,nnz,raw_int32_bytes,pz_bytes,ratio,read_s,read_gbps,read_mbps
GSE205774,Homo sapiens,dropseq,115818,12,120272,962228,1059881,0.908,0.1139,0.008,8.5
GSE222456,Mus musculus,10xv3,171540,1209,399775,3203040,1970086,1.626,0.1834,0.017,17.5
GSE206940,Mus musculus,nan,171540,6730,749173,6020308,2447512,2.46,0.1897,0.032,31.7
GSE81747,Homo sapiens,dropseq,115818,1523,1156224,9255888,2010507,4.604,0.1163,0.08,79.6
GSE211242,Mus musculus,10xv3_5prime,171540,7464,1529846,12268628,3231251,3.797,0.1709,0.072,71.8
GSE145801,Danio rerio,dropseq,97560,1004,1714598,13720804,2366224,5.799,0.1053,0.13,130.3
GSE275790,Mus musculus,10xv3,171540,2497,1926899,15425184,3245903,4.752,0.1736,0.089,88.8
GSE272390,Mus musculus,10xv3_5prime,171540,6450,2204169,17659156,3782942,4.668,0.1724,0.102,102.4
GSE182208,Homo sapiens,10xv3,115818,2063,2500217,20009992,3000577,6.669,0.1161,0.172,172.3
GSE278765,Mus musculus,10xv3_5prime,171540,5657,2772326,22201240,4113263,5.397,0.1718,0.129,129.2
GSE136035,Homo sapiens,10xv3_5prime,115818,9742,3117642,24980108,4068518,6.14,0.1167,0.214,214.1
GSE255516,Homo sapiens,10xv2,115818,8067,3506251,28082280,4264340,6.585,0.1215,0.231,231.1
GSE214906,Homo sapiens,10xv2,115818,1100,3807636,30465492,4152695,7.336,0.1372,0.222,222.0
GSE103224,Homo sapiens,nan,115818,3276,4266121,34142076,4564048,7.481,0.1255,0.272,272.1
GSE137950,Homo sapiens,seqwell,115818,1817,4513734,36117144,4710767,7.667,0.1715,0.211,210.6
GSE189324,Homo sapiens,10xv3,115818,2944,4772719,38193532,4681714,8.158,0.1284,0.297,297.5
GSE134842,Homo sapiens,nan,115818,3218,5004556,40049324,4904400,8.166,0.1283,0.312,312.1
GSE144827,Danio rerio,10xv2,97560,2809,5404303,43245664,5471580,7.904,0.1235,0.35,350.1
GSE283288,Mus musculus,10x_suspect,171540,28967,5738943,46027416,5990116,7.684,0.1978,0.233,232.7
GSE135186,Mus musculus,10xv2,171540,3491,6012459,48113640,6366272,7.558,0.1859,0.259,258.8
GSE302157,Mus musculus,nan,171540,2845,6418131,51356432,6739601,7.62,0.2074,0.248,247.6
GSE311198,Mus musculus,10x_suspect,171540,22412,6672880,53472692,6832712,7.826,0.1918,0.279,278.8
