gse_id,species,value,count,frac
GSE209597,Homo sapiens,1,1347586,0.6442668925799533
GSE209597,Homo sapiens,2,380967,0.18213637219851428
GSE209597,Homo sapiens,3,150675,0.07203615505020419
GSE209597,Homo sapiens,4,73265,0.035027236766239984
GSE209597,Homo sapiens,5,41075,0.019637531565867842
GSE209597,Homo sapiens,6,25250,0.012071763165871285
GSE209597,Homo sapiens,7,16435,0.007857403074498795
GSE209597,Homo sapiens,8,11451,0.005474604356926419
GSE209597,Homo sapiens,9,8142,0.0038926057701593663
GSE209597,Homo sapiens,10,6072,0.002902960235373087
GSE209597,Homo sapiens,11,4795,0.0022924397774397153
GSE209597,Homo sapiens,12,3587,0.0017149075039992199
GSE209597,Homo sapiens,13,3012,0.0014400059665585865
GSE209597,Homo sapiens,14,2367,0.001131638154994746
GSE209597,Homo sapiens,15,2011,0.000961438246596719
GSE209597,Homo sapiens,16,1615,0.0007721147529854307
GSE209597,Homo sapiens,17,1330,0.0006358592083409429
GSE209597,Homo sapiens,18,1099,0.0005254205037343581
GSE209597,Homo sapiens,19,1008,0.00048191434737418834
GSE209597,Homo sapiens,20,826,0.0003949020346538488
GSE209597,Homo sapiens,21,739,0.00035330823681500515
GSE209597,Homo sapiens,22,622,0.0002973717500662154
GSE209597,Homo sapiens,23,543,0.00025960266927002406
GSE209597,Homo sapiens,24,521,0.0002490846974027303
GSE209597,Homo sapiens,25,384,0.00018358641804730984
GSE209597,Homo sapiens,26,427,0.0002041442721515659
GSE209597,Homo sapiens,27,318,0.00015203250244542847
GSE209597,Homo sapiens,28,315,0.00015059823355443385
GSE209597,Homo sapiens,29,320,0.00015298868170609154
GSE209597,Homo sapiens,30,252,0.00012047858684354709
GSE209597,Homo sapiens,31,226,0.00010804825645492714
GSE209597,Homo sapiens,32,210,0.00010039882236962256
GSE209597,Homo sapiens,33,193,9.227129865398645e-05
GSE209597,Homo sapiens,34,152,7.266962381039348e-05
GSE209597,Homo sapiens,35,160,7.649434085304577e-05
GSE209597,Homo sapiens,36,152,7.266962381039348e-05
GSE209597,Homo sapiens,37,132,6.310783120376275e-05
GSE209597,Homo sapiens,38,143,6.836681713740966e-05
GSE209597,Homo sapiens,39,130,6.215165194309968e-05
GSE209597,Homo sapiens,40,118,5.6414576379121256e-05
GSE209597,Homo sapiens,41,112,5.3546038597132033e-05
GSE209597,Homo sapiens,42,104,4.9721321554479746e-05
GSE209597,Homo sapiens,43,103,4.924323192414821e-05
GSE209597,Homo sapiens,44,87,4.1593797838843636e-05
GSE209597,Homo sapiens,45,80,3.8247170426522885e-05
GSE209597,Homo sapiens,46,68,3.251009486254445e-05
GSE209597,Homo sapiens,47,81,3.872526005685442e-05
GSE209597,Homo sapiens,48,76,3.633481190519674e-05
GSE209597,Homo sapiens,49,74,3.537863264453367e-05
GSE209597,Homo sapiens,50,78,3.729099116585981e-05
GSE209597,Homo sapiens,51,60,2.8685377819892164e-05
GSE209597,Homo sapiens,52,47,2.2470212625582194e-05
GSE209597,Homo sapiens,53,60,2.8685377819892164e-05
GSE209597,Homo sapiens,54,47,2.2470212625582194e-05
GSE209597,Homo sapiens,55,46,2.1992122995250658e-05
GSE209597,Homo sapiens,56,45,2.1514033364919122e-05
GSE209597,Homo sapiens,57,38,1.816740595259837e-05
GSE209597,Homo sapiens,58,42,2.0079764473924514e-05
GSE209597,Homo sapiens,59,38,1.816740595259837e-05
GSE209597,Homo sapiens,60,43,2.055785410425605e-05
GSE209597,Homo sapiens,61,31,1.4820778540277618e-05
GSE209597,Homo sapiens,62,42,2.0079764473924514e-05
GSE209597,Homo sapiens,63,37,1.7689316322266835e-05
GSE209597,Homo sapiens,64,27,1.2908420018951472e-05
GSE209597,Homo sapiens,65,36,1.72112266919353e-05
GSE209597,Homo sapiens,66,35,1.673313706160376e-05
GSE209597,Homo sapiens,67,23,1.0996061497625329e-05
GSE209597,Homo sapiens,68,21,1.0039882236962257e-05
GSE209597,Homo sapiens,69,26,1.2430330388619937e-05
GSE209597,Homo sapiens,70,23,1.0996061497625329e-05
GSE209597,Homo sapiens,71,25,1.19522407582884e-05
GSE209597,Homo sapiens,72,20,9.561792606630721e-06
GSE209597,Homo sapiens,73,40,1.9123585213261442e-05
GSE209597,Homo sapiens,74,28,1.3386509649283008e-05
GSE209597,Homo sapiens,75,25,1.19522407582884e-05
GSE209597,Homo sapiens,76,26,1.2430330388619937e-05
GSE209597,Homo sapiens,77,16,7.649434085304576e-06
GSE209597,Homo sapiens,78,16,7.649434085304576e-06
GSE209597,Homo sapiens,79,20,9.561792606630721e-06
GSE209597,Homo sapiens,80,21,1.0039882236962257e-05
GSE209597,Homo sapiens,81,26,1.2430330388619937e-05
GSE209597,Homo sapiens,82,19,9.083702976299185e-06
GSE209597,Homo sapiens,83,25,1.19522407582884e-05
GSE209597,Homo sapiens,84,18,8.60561334596765e-06
GSE209597,Homo sapiens,85,20,9.561792606630721e-06
GSE209597,Homo sapiens,86,11,5.2589859336468965e-06
GSE209597,Homo sapiens,87,15,7.171344454973041e-06
GSE209597,Homo sapiens,88,25,1.19522407582884e-05
GSE209597,Homo sapiens,89,18,8.60561334596765e-06
GSE209597,Homo sapiens,90,12,5.737075563978432e-06
GSE209597,Homo sapiens,91,19,9.083702976299185e-06
GSE209597,Homo sapiens,92,14,6.693254824641504e-06
