gse_id,species,protocol,ncols,nrows,nnz,density,pi,r,p,mean_nz,var_nz,max_val,frac_one,entropy_nz,pz_bytes,raw_bytes,ratio,read_mbps,write_mbps,h5ad_bytes,h5_bytes,npz_bytes,h5ad_read_mbps,h5_read_mbps,zinb_source
GSE209597,Homo sapiens,10x Chromium v3,4988,115818,13186476,0.022825812359443528,0.04348532748491251,0.01,0.02981630296117539,2.0806068678531577,65.59484653842372,4964,0.6442668925799533,1.7993763870389425,10987588,105511764,9.602814011591988,785.0608939674012,250.35538389288652,34778480,35794553,28005232,251.61265066887734,286.2781921700082,fitted
GSE216064,Homo sapiens,10x Chromium v3,6864,115818,27256359,0.03428581716768786,0.2016222571053742,0.01,0.015054986298162076,3.4085346190488393,215.16874301205817,14549,0.574393317149162,2.285946327030655,22966371,218078332,9.495550341845474,1202.3906763825764,370.1462455471915,69035392,69991049,60943460,255.4461978785536,269.4420144253864,fitted
GSE187438,Homo sapiens,10x Chromium v3,102151,115818,70115087,0.005926425013812264,0.6023562850085536,0.01,0.19949666228171278,1.350913576992629,4.958246414567391,765,0.842392996071241,0.9278378320276032,64417342,561329304,8.713946998930815,1315.9078905351028,497.32758398217504,177709308,176463592,149978260,277.5178467135528,289.8619415551332,fitted
GSE204704,Homo sapiens,10x Chromium v3,111155,115818,176632304,0.013720346199147311,0.9475672714178857,0.01,0.04208730816017796,1.743603707988212,38.39307124069656,2763,0.7712663939030668,1.3092709922177503,142158591,1413503056,9.943141994140897,1650.0640379171255,470.0421449599221,419781585,418315108,383834849,288.3039166465983,294.72226961111716,fitted
GSE288147,Homo sapiens,10x Chromium v3,271307,115818,350535551,0.011155653337518513,0.623653267731916,0.01,0.040002908669071635,1.9930586786405087,45.897914599457884,5102,0.7428402690294316,1.5245817231470453,291236959,2805369640,9.632601746813323,1729.6994531347354,499.639206831811,851609855,846388549,-1,287.6064407544075,292.23431011131913,fitted
GSE290216,Homo sapiens,10x Chromium v2,32759,115818,10955158,0.0028874332179604405,0.8976875159825307,0.01,0.13155855837403094,1.7677865346998862,10.318610460098034,355,0.8218324800442184,1.222135074650862,12016265,87772304,7.304458082440759,674.5942524017509,351.8449975891406,33697722,34059935,24448414,230.0452528369515,275.428274569793,fitted
GSE248556,Homo sapiens,10x Chromium v3 5',92446,115818,47327191,0.004420247049805728,0.883900814147977,0.01,0.030567475155930807,1.9854854427828892,61.02772066962433,18009,0.7071832178559687,1.5582808248173294,48052608,378987316,7.886925013518517,1088.847921074521,458.46731750136075,128512353,127503433,108393322,260.0475886098923,277.3281765910316,fitted
GSE286044,Mus musculus,10x Chromium v4,139070,171540,33807171,0.0014171309070474725,0.5817651008869915,0.01,0.005880707177029835,3.0992481894617647,517.6154243351352,8395,0.5896269919855738,2.1619045234857692,35392904,271013652,7.657287799836939,663.0196707778155,320.92695084995046,96109374,95992816,75977128,241.4968269171395,276.1889630231727,fitted
GSE150338,Mus musculus,10x Chromium v3,100172,171540,15379968,0.0008950425485024798,0.49679551218139834,0.01,0.837525470501808,1.0584495469050672,0.1444651358506532,27,0.9585637155697312,0.2942055969940188,22125110,123440436,5.579201007362223,466.0666803261033,354.6319796107131,51659864,52904597,38197322,228.73366795778188,289.7596476543595,fitted
GSE103976,Mus musculus,10x Chromium v3,183350,171540,32044162,0.001018832050595165,0.817830865242249,0.01,0.0504772551555037,1.8709482105373427,33.58348699814793,1670,0.7040573261135785,1.5173198093601477,39221098,257086700,6.554806293286333,645.9825159381602,440.6709306297986,98003629,97619907,76704403,233.26912034569938,271.0719932865455,fitted
GSE203171,Mus musculus,10x Chromium v3,164483,171540,135760744,0.004811580821251978,0.9041274296338124,0.01,0.006971109155384056,2.0340539699442073,287.66524701122256,9036,0.752310751530336,1.4319532655787313,112638191,1086743888,9.648094295122336,1440.7190667554862,498.949842237437,329292837,328596679,289816522,284.6985310438947,294.8214960230003,fitted
GSE176269,Homo sapiens,Seq-Well,119301,115818,14124719,0.0010222560077570106,0.9643798023617418,0.01,0.14178806691505816,1.1895545277139055,6.975601098752795,667,0.9179503131429263,0.5438847667005969,20386136,113474960,5.5662809273910465,499.0424864819887,361.25787615317563,46543066,45383481,34213470,225.0380841552154,285.0757417794432,fitted
GSE136679,Mus musculus,Seq-Well,168637,171540,57013386,0.001970872641636865,0.767964320184394,0.01,0.002749519446761211,3.771515814277832,1357.6646496117305,11809,0.656211321154833,1.9703401729857173,58683897,456781640,7.7837645990006425,910.6033948728534,428.7228158948549,151676420,151577607,124466482,262.65888347858447,287.5719430816158,fitted
GSE155409,Homo sapiens,Drop-seq,1328,115818,122930,0.0007992520254566419,0.9435143003674382,0.01,0.3505518922055173,1.2748511223087495,2.0124092197044208,20,0.907466788822721,0.6591995728250827,1123637,988756,0.8799603430645306,19.539551088911555,43.57701241810933,4930846,6016714,261622,20.08661282406867,222.3717040948839,fitted
GSE174189,Homo sapiens,inDrop,630,115818,291736,0.0039982819239929536,0.8891700384293176,0.01,0.025368068031315326,2.442807881097979,90.35114538314133,483,0.7673547316752132,1.425252807829482,1238547,2336412,1.8864136766711315,43.204968185877874,63.26888338638489,5325602,6422994,633204,43.240387377234235,239.58582396166327,fitted
GSE210261,Homo sapiens,BD Rhapsody,4361,115818,4575353,0.009058628698961055,0.7433657989550106,0.01,0.02749956608751819,2.5732860393504065,87.01369768513774,7563,0.6186838480003619,2.0373466437683825,5195193,36620272,7.048876143773677,429.4812158497928,223.8465888950375,16357938,17384516,10291309,199.0018007545519,266.6776857022994,fitted
GSE278497,Homo sapiens,DNBelab C4,74831,115818,92836430,0.01071175969939527,0.3338565699945532,0.01,0.24488071081478732,1.5362988756573221,3.935414322914419,272,0.7807247153804914,1.2418783853182718,74056525,742990768,10.032752252418002,1567.5937895134573,495.45845643117434,224078020,223442278,189809179,280.6866270791921,288.68289317081144,fitted
GSE306871,Mus musculus,DNBelab C4,91949,171540,117273728,0.007435125696032156,0.8019736101792977,0.01,0.02341180085598083,2.1805417601111663,88.41850813494042,3947,0.722240515060331,1.6263187116033557,93867216,938557624,9.99877980827726,1725.1121968118837,524.3959784435978,289552268,290599769,248452192,275.72251505642794,285.39266558233146,fitted
GSE123662,Danio rerio,10x Chromium v2,80080,97560,7513984,0.000961777050337936,0.9842029410954399,0.01,0.0018704944732071808,3.851339316133758,2044.1767444489715,14357,0.6168865943818885,2.2454331619309147,8833262,60432196,6.8414359270674865,440.4689451167625,481.5336359912881,23056110,22439325,12993403,228.6850245986572,317.22306254814674,fitted
GSE241296,Danio rerio,10x Chromium v3,79248,97560,29715743,0.0038434965127715076,0.9161654148667312,0.01,0.009158804204424628,2.6644995550001895,283.8499386896033,15617,0.754864382828994,1.5627240179191113,30576270,238042940,7.785218406300049,978.3768881144924,482.08419070232765,81102444,80522388,67043168,254.8188432671216,276.46109092710304,fitted
GSE297773,Rattus norvegicus,10x Chromium v3,92959,91686,40324622,0.0047312493344378,0.0,0.01,0.09609790955815177,1.9722721182928877,16.744897590395077,2427,0.6825162430984342,1.6750103832171774,36604228,322968816,8.82326533426685,1126.6392242669174,417.45869520091196,101410342,100467611,89442996,267.8110732805732,287.01152409383127,fitted
GSE126139,Drosophila melanogaster,10x Chromium v2,7739,72834,13470716,0.023898556597873457,0.15491910978526333,0.01,0.07277405977649133,2.45891113200659,27.874199177215736,1804,0.5863927288961925,2.1223356580093173,10113747,107796688,10.658432329778469,1424.0568192810135,375.8646086317185,32889333,35662599,25485815,259.73107733374184,280.8680573857155,fitted
GSE245419,Macaca mulatta,10x Chromium v3,117074,106296,17250594,0.001386202491500697,0.9395724030517103,0.01,0.03960655748237554,2.8120585100864823,63.107330351228946,2225,0.7011240435928976,1.964675994710822,20215856,138473052,6.849724889215673,643.4147494218894,503.1437576811926,50932939,49589187,36077135,242.00169137212302,290.3950577773611,fitted
GSE249652,Gallus gallus,10x Chromium v3,741178,90324,169036775,0.002524965894657095,0.9352123171852407,0.01,0.04273539000780592,1.2472083670442122,27.632037647317798,5739,0.9010843637725744,0.6318765591878578,189542332,1355258916,7.1501648296698175,977.3194060546264,515.3463487974267,460248975,444044326,386943487,275.88028273837,298.75717570024705,fitted
GSE304926,Xenopus laevis,10x Chromium v4,172684,73842,28745574,0.002254319326193608,0.0,0.01,0.0024706508281082187,9.528816883538948,3773.348765266714,11372,0.47043876367899023,3.2099841357770593,28760673,230655332,8.019816921530314,841.5709790703936,454.95706635803475,76875378,73761533,57918901,259.9823576022894,293.6954041461185,fitted
