name	accession	kingdom	priority
SARS-CoV-2	NC_045512.2	VIRAL	HIGH
HIV-1	NC_001802.1	VIRAL	HIGH
Influenza A H1N1	NC_026438.1	VIRAL	HIGH
Influenza A H3N2	NC_007366.1	VIRAL	HIGH
Influenza B	NC_002204.1	VIRAL	HIGH
HCMV	NC_006273.2	VIRAL	HIGH
EBV	NC_007605.1	VIRAL	HIGH
Adenovirus 5	AC_000008.1	VIRAL	HIGH
VZV	NC_001348.1	VIRAL	HIGH
HBV	NC_003977.2	VIRAL	HIGH
HPV16	NC_001526.4	VIRAL	HIGH
HPV18	NC_001357.1	VIRAL	MEDIUM
Dengue virus 1	NC_001477.1	VIRAL	HIGH
Dengue virus 2	NC_001474.2	VIRAL	HIGH
Dengue virus 3	NC_001475.2	VIRAL	MEDIUM
Dengue virus 4	NC_002640.1	VIRAL	MEDIUM
Zika virus	NC_012532.1	VIRAL	HIGH
HCV genotype 1a	NC_004102.1	VIRAL	HIGH
Norovirus GII	NC_029646.1	VIRAL	HIGH
RSV A	NC_038235.1	VIRAL	HIGH
HSV-1	NC_001806.2	VIRAL	HIGH
HSV-2	NC_001798.2	VIRAL	MEDIUM
HPyV1 BKV	NC_001538.1	VIRAL	MEDIUM
JC polyomavirus	NC_001699.1	VIRAL	MEDIUM
Parvovirus B19	NC_000883.2	VIRAL	MEDIUM
HTLV-1	NC_001436.1	VIRAL	HIGH
Enterovirus A71	NC_001612.1	VIRAL	MEDIUM
Hantaan virus S	NC_005218.1	VIRAL	MEDIUM
West Nile virus	NC_009942.1	VIRAL	MEDIUM
MERS-CoV	NC_019843.3	VIRAL	HIGH
E.coli K12	NC_000913.3	BACTERIAL	HIGH
Staphylococcus aureus MRSA252	NC_002952.2	BACTERIAL	HIGH
Mycobacterium tuberculosis H37Rv	NC_000962.3	BACTERIAL	HIGH
Klebsiella pneumoniae HS11286	NC_016845.1	BACTERIAL	HIGH
Pseudomonas aeruginosa PAO1	NC_002516.2	BACTERIAL	HIGH
Streptococcus pneumoniae TIGR4	NC_003028.3	BACTERIAL	HIGH
Streptococcus pyogenes M1 GAS	NC_002737.2	BACTERIAL	HIGH
Helicobacter pylori 26695	NC_000915.1	BACTERIAL	HIGH
Clostridioides difficile 630	NC_009089.1	BACTERIAL	HIGH
Neisseria gonorrhoeae FA 1090	NC_002946.2	BACTERIAL	HIGH
Bordetella pertussis Tohama I	NC_002929.2	BACTERIAL	HIGH
Haemophilus influenzae Rd KW20	NC_000907.1	BACTERIAL	HIGH
Listeria monocytogenes EGD-e	NC_003210.1	BACTERIAL	HIGH
Salmonella enterica LT2	NC_003197.2	BACTERIAL	HIGH
Bacillus anthracis Ames Ancestor	NC_007530.2	BACTERIAL	HIGH
Clostridium botulinum A ATCC 3502	NC_009699.1	BACTERIAL	MEDIUM
Acinetobacter baumannii ATCC 17978	NC_009085.1	BACTERIAL	HIGH
Enterococcus faecalis V583	NC_004668.1	BACTERIAL	MEDIUM
Staphylococcus epidermidis ATCC 12228	NC_004461.1	BACTERIAL	MEDIUM
Vibrio cholerae O1 N16961	NC_002505.1	BACTERIAL	MEDIUM
Yersinia pestis CO92	NC_003143.1	BACTERIAL	MEDIUM
Francisella tularensis SCHU S4	NC_006570.2	BACTERIAL	MEDIUM
Brucella abortus 9-941	NC_006932.1	BACTERIAL	MEDIUM
Candida albicans SC5314 chr1	NC_032089.1	FUNGAL	HIGH
Aspergillus fumigatus Af293 chr1	NC_007194.1	FUNGAL	HIGH
Cryptococcus neoformans H99 chr1	NC_026745.1	FUNGAL	HIGH
Candida auris B8441 chr1	NC_042518.1	FUNGAL	HIGH
Histoplasma capsulatum chr1	NC_020300.1	FUNGAL	MEDIUM
Coccidioides immitis RS chr1	NC_007069.1	FUNGAL	MEDIUM
Pneumocystis jirovecii chr1	NC_031820.1	FUNGAL	HIGH
Talaromyces marneffei ATCC 18224	NC_016828.1	FUNGAL	MEDIUM
Candida glabrata CBS 138	NC_005967.1	FUNGAL	MEDIUM
Mucor circinelloides CBS277.49	NC_024091.1	FUNGAL	LOW
